p,mean_m,T,interaction_type
0.3,0.29999999999999993,0.0,spin_glass
0.6,0.15999999999999998,0.0,spin_glass
0.9,0.12000000000000004,0.0,spin_glass
0.3,0.12005000000000003,0.10101010101010101,spin_glass
0.6,0.2,0.10101010101010101,spin_glass
0.9,0.2249000000000001,0.10101010101010101,spin_glass
0.3,0.10260000000000001,0.20202020202020202,spin_glass
0.6,0.2,0.20202020202020202,spin_glass
0.9,0.1,0.20202020202020202,spin_glass
0.3,0.05810000000000001,0.30303030303030304,spin_glass
0.6,0.22000000000000008,0.30303030303030304,spin_glass
0.9,0.059600000000000014,0.30303030303030304,spin_glass
0.3,0.0384,0.40404040404040403,spin_glass
0.6,0.14255,0.40404040404040403,spin_glass
0.9,0.08049999999999999,0.40404040404040403,spin_glass
0.3,0.095,0.5050505050505051,spin_glass
0.6,0.16450000000000004,0.5050505050505051,spin_glass
0.9,0.1087,0.5050505050505051,spin_glass
0.3,0.0703,0.6060606060606061,spin_glass
0.6,0.14170000000000002,0.6060606060606061,spin_glass
0.9,0.010049999999999998,0.6060606060606061,spin_glass
0.3,0.0144,0.7070707070707071,spin_glass
0.6,0.07225,0.7070707070707071,spin_glass
0.9,0.05115000000000001,0.7070707070707071,spin_glass
0.3,0.08760000000000001,0.8080808080808081,spin_glass
0.6,0.04595,0.8080808080808081,spin_glass
0.9,0.029549999999999996,0.8080808080808081,spin_glass
0.3,0.06915,0.9090909090909091,spin_glass
0.6,0.1548,0.9090909090909091,spin_glass
0.9,0.08315000000000002,0.9090909090909091,spin_glass
0.3,0.05435,1.0101010101010102,spin_glass
0.6,0.023400000000000004,1.0101010101010102,spin_glass
0.9,0.0364,1.0101010101010102,spin_glass
0.3,0.03395,1.1111111111111112,spin_glass
0.6,0.05565,1.1111111111111112,spin_glass
0.9,0.05575,1.1111111111111112,spin_glass
0.3,0.061500000000000006,1.2121212121212122,spin_glass
0.6,0.0786,1.2121212121212122,spin_glass
0.9,0.06075,1.2121212121212122,spin_glass
0.3,0.0017999999999999997,1.3131313131313131,spin_glass
0.6,0.13215,1.3131313131313131,spin_glass
0.9,0.05689999999999999,1.3131313131313131,spin_glass
0.3,0.07105,1.4141414141414141,spin_glass
0.6,0.05285,1.4141414141414141,spin_glass
0.9,0.05734999999999999,1.4141414141414141,spin_glass
0.3,0.0635,1.5151515151515151,spin_glass
0.6,0.09865000000000002,1.5151515151515151,spin_glass
0.9,0.06515,1.5151515151515151,spin_glass
0.3,0.0617,1.6161616161616161,spin_glass
0.6,0.0751,1.6161616161616161,spin_glass
0.9,0.02855,1.6161616161616161,spin_glass
0.3,0.06575,1.7171717171717171,spin_glass
0.6,0.0834,1.7171717171717171,spin_glass
0.9,0.05715,1.7171717171717171,spin_glass
0.3,0.05765000000000001,1.8181818181818181,spin_glass
0.6,0.017750000000000002,1.8181818181818181,spin_glass
0.9,0.060250000000000005,1.8181818181818181,spin_glass
0.3,0.047400000000000005,1.9191919191919191,spin_glass
0.6,0.0502,1.9191919191919191,spin_glass
0.9,0.0192,1.9191919191919191,spin_glass
0.3,0.038099999999999995,2.0202020202020203,spin_glass
0.6,0.014500000000000002,2.0202020202020203,spin_glass
0.9,0.0287,2.0202020202020203,spin_glass
0.3,0.05345,2.121212121212121,spin_glass
0.6,0.0512,2.121212121212121,spin_glass
0.9,0.05960000000000001,2.121212121212121,spin_glass
0.3,0.046150000000000004,2.2222222222222223,spin_glass
0.6,0.0859,2.2222222222222223,spin_glass
0.9,0.060050000000000006,2.2222222222222223,spin_glass
0.3,0.037700000000000004,2.323232323232323,spin_glass
0.6,0.0742,2.323232323232323,spin_glass
0.9,0.04120000000000001,2.323232323232323,spin_glass
0.3,0.03560000000000001,2.4242424242424243,spin_glass
0.6,0.0761,2.4242424242424243,spin_glass
0.9,0.05225,2.4242424242424243,spin_glass
0.3,0.04125,2.525252525252525,spin_glass
0.6,0.09360000000000002,2.525252525252525,spin_glass
0.9,0.021900000000000003,2.525252525252525,spin_glass
0.3,0.0228,2.6262626262626263,spin_glass
0.6,0.031450000000000006,2.6262626262626263,spin_glass
0.9,0.04275,2.6262626262626263,spin_glass
0.3,0.02005,2.727272727272727,spin_glass
0.6,0.03535,2.727272727272727,spin_glass
0.9,0.032549999999999996,2.727272727272727,spin_glass
0.3,0.0319,2.8282828282828283,spin_glass
0.6,0.02,2.8282828282828283,spin_glass
0.9,0.03559999999999999,2.8282828282828283,spin_glass
0.3,0.03265,2.929292929292929,spin_glass
0.6,0.014700000000000001,2.929292929292929,spin_glass
0.9,0.0493,2.929292929292929,spin_glass
0.3,0.025,3.0303030303030303,spin_glass
0.6,0.03455,3.0303030303030303,spin_glass
0.9,0.0425,3.0303030303030303,spin_glass
0.3,0.0238,3.131313131313131,spin_glass
0.6,0.07035,3.131313131313131,spin_glass
0.9,0.04190000000000001,3.131313131313131,spin_glass
0.3,0.01955,3.2323232323232323,spin_glass
0.6,0.043550000000000005,3.2323232323232323,spin_glass
0.9,0.033049999999999996,3.2323232323232323,spin_glass
0.3,0.01085,3.3333333333333335,spin_glass
0.6,0.02705,3.3333333333333335,spin_glass
0.9,0.0385,3.3333333333333335,spin_glass
0.3,0.02825,3.4343434343434343,spin_glass
0.6,0.008449999999999997,3.4343434343434343,spin_glass
0.9,0.014499999999999999,3.4343434343434343,spin_glass
0.3,0.011749999999999998,3.5353535353535355,spin_glass
0.6,0.014899999999999998,3.5353535353535355,spin_glass
0.9,0.028949999999999997,3.5353535353535355,spin_glass
0.3,0.005049999999999999,3.6363636363636362,spin_glass
0.6,0.024400000000000005,3.6363636363636362,spin_glass
0.9,0.022949999999999998,3.6363636363636362,spin_glass
0.3,0.018799999999999997,3.7373737373737375,spin_glass
0.6,0.029949999999999997,3.7373737373737375,spin_glass
0.9,0.0285,3.7373737373737375,spin_glass
0.3,0.0096,3.8383838383838382,spin_glass
0.6,0.027399999999999997,3.8383838383838382,spin_glass
0.9,0.03535,3.8383838383838382,spin_glass
0.3,0.02075,3.9393939393939394,spin_glass
0.6,0.016450000000000006,3.9393939393939394,spin_glass
0.9,0.025199999999999997,3.9393939393939394,spin_glass
0.3,0.0216,4.040404040404041,spin_glass
0.6,0.028000000000000004,4.040404040404041,spin_glass
0.9,0.019700000000000002,4.040404040404041,spin_glass
0.3,0.012599999999999998,4.141414141414141,spin_glass
0.6,0.015700000000000002,4.141414141414141,spin_glass
0.9,0.016450000000000003,4.141414141414141,spin_glass
0.3,0.004300000000000001,4.242424242424242,spin_glass
0.6,0.013150000000000002,4.242424242424242,spin_glass
0.9,0.01705,4.242424242424242,spin_glass
0.3,0.01575,4.343434343434343,spin_glass
0.6,0.017150000000000002,4.343434343434343,spin_glass
0.9,0.02665,4.343434343434343,spin_glass
0.3,0.01425,4.444444444444445,spin_glass
0.6,0.01475,4.444444444444445,spin_glass
0.9,0.0076,4.444444444444445,spin_glass
0.3,0.00835,4.545454545454545,spin_glass
0.6,0.00795,4.545454545454545,spin_glass
0.9,0.014400000000000003,4.545454545454545,spin_glass
0.3,0.01755,4.646464646464646,spin_glass
0.6,0.019950000000000002,4.646464646464646,spin_glass
0.9,0.025249999999999998,4.646464646464646,spin_glass
0.3,0.018500000000000003,4.747474747474747,spin_glass
0.6,0.0275,4.747474747474747,spin_glass
0.9,0.01145,4.747474747474747,spin_glass
0.3,0.009899999999999999,4.848484848484849,spin_glass
0.6,0.013550000000000001,4.848484848484849,spin_glass
0.9,0.013900000000000001,4.848484848484849,spin_glass
0.3,0.009399999999999999,4.94949494949495,spin_glass
0.6,0.01615,4.94949494949495,spin_glass
0.9,0.0032999999999999987,4.94949494949495,spin_glass
0.3,0.0030499999999999998,5.05050505050505,spin_glass
0.6,0.0021499999999999987,5.05050505050505,spin_glass
0.9,0.01565,5.05050505050505,spin_glass
0.3,0.022949999999999998,5.151515151515151,spin_glass
0.6,0.0031999999999999997,5.151515151515151,spin_glass
0.9,0.014700000000000001,5.151515151515151,spin_glass
0.3,0.0207,5.252525252525253,spin_glass
0.6,0.00845,5.252525252525253,spin_glass
0.9,0.008799999999999999,5.252525252525253,spin_glass
0.3,0.011000000000000001,5.353535353535354,spin_glass
0.6,0.0018000000000000004,5.353535353535354,spin_glass
0.9,0.020949999999999996,5.353535353535354,spin_glass
0.3,0.006300000000000001,5.454545454545454,spin_glass
0.6,0.0031500000000000018,5.454545454545454,spin_glass
0.9,0.00365,5.454545454545454,spin_glass
0.3,0.008450000000000001,5.555555555555555,spin_glass
0.6,0.0036500000000000005,5.555555555555555,spin_glass
0.9,0.0069500000000000004,5.555555555555555,spin_glass
0.3,0.008899999999999998,5.656565656565657,spin_glass
0.6,0.0044,5.656565656565657,spin_glass
0.9,0.0177,5.656565656565657,spin_glass
0.3,0.00645,5.757575757575758,spin_glass
0.6,0.0036000000000000003,5.757575757575758,spin_glass
0.9,0.00665,5.757575757575758,spin_glass
0.3,0.018000000000000002,5.858585858585858,spin_glass
0.6,0.0069500000000000004,5.858585858585858,spin_glass
0.9,0.006299999999999999,5.858585858585858,spin_glass
0.3,0.01225,5.959595959595959,spin_glass
0.6,0.01295,5.959595959595959,spin_glass
0.9,0.010550000000000002,5.959595959595959,spin_glass
0.3,0.011449999999999998,6.0606060606060606,spin_glass
0.6,0.0055000000000000005,6.0606060606060606,spin_glass
0.9,0.0039000000000000003,6.0606060606060606,spin_glass
0.3,0.02175,6.161616161616162,spin_glass
0.6,0.014400000000000001,6.161616161616162,spin_glass
0.9,0.021750000000000002,6.161616161616162,spin_glass
0.3,0.014050000000000002,6.262626262626262,spin_glass
0.6,0.004099999999999998,6.262626262626262,spin_glass
0.9,0.01165,6.262626262626262,spin_glass
0.3,0.0026500000000000013,6.363636363636363,spin_glass
0.6,0.00405,6.363636363636363,spin_glass
0.9,0.0023499999999999997,6.363636363636363,spin_glass
0.3,0.008000000000000002,6.4646464646464645,spin_glass
0.6,0.0036,6.4646464646464645,spin_glass
0.9,0.0111,6.4646464646464645,spin_glass
0.3,0.007649999999999999,6.565656565656566,spin_glass
0.6,0.0058000000000000005,6.565656565656566,spin_glass
0.9,0.008350000000000002,6.565656565656566,spin_glass
0.3,0.01505,6.666666666666667,spin_glass
0.6,0.00945,6.666666666666667,spin_glass
0.9,0.009400000000000002,6.666666666666667,spin_glass
0.3,0.0178,6.767676767676767,spin_glass
0.6,0.00905,6.767676767676767,spin_glass
0.9,0.011200000000000002,6.767676767676767,spin_glass
0.3,0.0144,6.8686868686868685,spin_glass
0.6,0.0045000000000000005,6.8686868686868685,spin_glass
0.9,0.008749999999999999,6.8686868686868685,spin_glass
0.3,0.0195,6.96969696969697,spin_glass
0.6,0.009150000000000002,6.96969696969697,spin_glass
0.9,0.0064,6.96969696969697,spin_glass
0.3,0.013699999999999999,7.070707070707071,spin_glass
0.6,0.0039499999999999995,7.070707070707071,spin_glass
0.9,0.012850000000000002,7.070707070707071,spin_glass
0.3,0.011099999999999999,7.171717171717171,spin_glass
0.6,0.005250000000000001,7.171717171717171,spin_glass
0.9,0.007500000000000002,7.171717171717171,spin_glass
0.3,0.00605,7.2727272727272725,spin_glass
0.6,0.009749999999999998,7.2727272727272725,spin_glass
0.9,0.0020999999999999994,7.2727272727272725,spin_glass
0.3,0.0068000000000000005,7.373737373737374,spin_glass
0.6,0.0013500000000000022,7.373737373737374,spin_glass
0.9,0.0032500000000000003,7.373737373737374,spin_glass
0.3,0.009000000000000001,7.474747474747475,spin_glass
0.6,0.0042000000000000015,7.474747474747475,spin_glass
0.9,0.006050000000000002,7.474747474747475,spin_glass
0.3,0.008450000000000001,7.575757575757575,spin_glass
0.6,0.0012000000000000005,7.575757575757575,spin_glass
0.9,0.002550000000000001,7.575757575757575,spin_glass
0.3,0.009249999999999998,7.6767676767676765,spin_glass
0.6,0.004449999999999999,7.6767676767676765,spin_glass
0.9,0.005699999999999999,7.6767676767676765,spin_glass
0.3,0.017349999999999997,7.777777777777778,spin_glass
0.6,0.0059499999999999996,7.777777777777778,spin_glass
0.9,0.004700000000000001,7.777777777777778,spin_glass
0.3,0.0024500000000000012,7.878787878787879,spin_glass
0.6,0.0053500000000000015,7.878787878787879,spin_glass
0.9,0.006000000000000001,7.878787878787879,spin_glass
0.3,0.005450000000000002,7.979797979797979,spin_glass
0.6,0.004900000000000001,7.979797979797979,spin_glass
0.9,0.0118,7.979797979797979,spin_glass
0.3,0.00915,8.080808080808081,spin_glass
0.6,0.00995,8.080808080808081,spin_glass
0.9,0.015300000000000001,8.080808080808081,spin_glass
0.3,0.007949999999999999,8.181818181818182,spin_glass
0.6,0.0025999999999999994,8.181818181818182,spin_glass
0.9,0.00375,8.181818181818182,spin_glass
0.3,0.007950000000000002,8.282828282828282,spin_glass
0.6,0.006150000000000002,8.282828282828282,spin_glass
0.9,0.003049999999999999,8.282828282828282,spin_glass
0.3,0.013750000000000002,8.383838383838384,spin_glass
0.6,0.009499999999999998,8.383838383838384,spin_glass
0.9,0.005750000000000001,8.383838383838384,spin_glass
0.3,0.009000000000000001,8.484848484848484,spin_glass
0.6,0.010550000000000002,8.484848484848484,spin_glass
0.9,0.00845,8.484848484848484,spin_glass
0.3,0.007150000000000001,8.585858585858587,spin_glass
0.6,0.005849999999999998,8.585858585858587,spin_glass
0.9,0.009499999999999998,8.585858585858587,spin_glass
0.3,0.0037,8.686868686868687,spin_glass
0.6,0.00755,8.686868686868687,spin_glass
0.9,0.01,8.686868686868687,spin_glass
0.3,0.007899999999999999,8.787878787878787,spin_glass
0.6,0.00655,8.787878787878787,spin_glass
0.9,0.0023000000000000004,8.787878787878787,spin_glass
0.3,0.013049999999999999,8.88888888888889,spin_glass
0.6,0.011700000000000002,8.88888888888889,spin_glass
0.9,0.0022999999999999987,8.88888888888889,spin_glass
0.3,0.00515,8.98989898989899,spin_glass
0.6,0.0096,8.98989898989899,spin_glass
0.9,0.008900000000000002,8.98989898989899,spin_glass
0.3,0.00425,9.09090909090909,spin_glass
0.6,0.005499999999999998,9.09090909090909,spin_glass
0.9,0.004449999999999999,9.09090909090909,spin_glass
0.3,0.004000000000000001,9.191919191919192,spin_glass
0.6,0.013150000000000002,9.191919191919192,spin_glass
0.9,0.0022499999999999994,9.191919191919192,spin_glass
0.3,0.004499999999999999,9.292929292929292,spin_glass
0.6,0.004450000000000001,9.292929292929292,spin_glass
0.9,0.00935,9.292929292929292,spin_glass
0.3,0.0063,9.393939393939394,spin_glass
0.6,0.0058000000000000005,9.393939393939394,spin_glass
0.9,0.011700000000000002,9.393939393939394,spin_glass
0.3,0.004650000000000001,9.494949494949495,spin_glass
0.6,0.0007500000000000002,9.494949494949495,spin_glass
0.9,0.0020000000000000005,9.494949494949495,spin_glass
0.3,0.004200000000000001,9.595959595959595,spin_glass
0.6,0.0038499999999999984,9.595959595959595,spin_glass
0.9,0.0102,9.595959595959595,spin_glass
0.3,0.004299999999999999,9.696969696969697,spin_glass
0.6,0.0068000000000000005,9.696969696969697,spin_glass
0.9,0.010249999999999999,9.696969696969697,spin_glass
0.3,0.009000000000000001,9.797979797979798,spin_glass
0.6,0.0019000000000000006,9.797979797979798,spin_glass
0.9,0.0103,9.797979797979798,spin_glass
0.3,0.008900000000000002,9.8989898989899,spin_glass
0.6,0.00125,9.8989898989899,spin_glass
0.9,0.00405,9.8989898989899,spin_glass
0.3,0.0074,10.0,spin_glass
0.6,0.006750000000000001,10.0,spin_glass
0.9,0.0078000000000000005,10.0,spin_glass
